,id,host_since,host_neighbourhood,host_total_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,property_type,room_type,bed_type,square_feet,price,security_deposit,cleaning_fee,availability_365,number_of_reviews,review_scores_value,cancellation_policy,calculated_host_listings_count,geolocation,profile_pic,identity_verified,location_exact,instant_bookable,license_required,guest_pic_required,superhost,guest_phone_verification
7443,17878606,2013-11-27,,4.0,Aluche,Latina,28047,40.3923089155027,-3.742103241472528,Apartment,Entire home/apt,Real Bed,,50.0,300.0,25.0,95,0,,moderate,2.0,"40.3923089155027, -3.742103241472528",True,True,False,True,True,False,False,False
7444,13669622,2016-03-10,,1.0,Aluche,Latina,28047,40.38712723541076,-3.757534427548452,Apartment,Private room,Real Bed,,25.0,100.0,20.0,94,4,10.0,flexible,1.0,"40.38712723541076, -3.7575344275484523",True,True,False,True,True,False,False,False
7445,8109345,2014-11-17,Carabanchel,1.0,San Isidro,Carabanchel,28019,40.39580551400766,-3.72723277956807,Bed & Breakfast,Private room,Real Bed,,20.0,150.0,5.0,152,2,10.0,flexible,1.0,"40.39580551400766, -3.72723277956807",True,True,False,False,True,False,False,False
7446,6051032,2014-07-27,,1.0,San Isidro,Carabanchel,28019,40.39601590121744,-3.7294217186005785,House,Entire home/apt,Real Bed,,110.0,120.0,30.0,107,0,,flexible,1.0,"40.39601590121744, -3.7294217186005785",True,True,False,False,True,False,False,False
7447,3601198,2014-07-09,Carabanchel,7.0,San Isidro,Carabanchel,28019,40.39333274174079,-3.725487833550778,Apartment,Private room,Real Bed,,75.0,200.0,,364,0,,strict,3.0,"40.393332741740785, -3.725487833550778",True,False,True,False,True,False,False,False
7448,16823469,2015-12-03,Carabanchel,2.0,San Isidro,Carabanchel,28019,40.39239243370388,-3.7263076622596167,House,Private room,Real Bed,,20.0,,,365,1,8.0,moderate,2.0,"40.39239243370388, -3.7263076622596167",True,True,False,False,True,False,False,False
7449,11174396,2015-08-17,Aluche,4.0,Campamento,Latina,28024,40.396832890803125,-3.77239002012696,Apartment,Private room,Real Bed,,18.0,,,168,52,9.0,strict,4.0,"40.396832890803125, -3.77239002012696",True,True,True,False,True,False,False,False
7450,17743685,2017-03-16,,1.0,Comillas,Carabanchel,28019,40.39681738687056,-3.714829769402927,Apartment,Private room,Real Bed,,21.0,,,155,1,10.0,flexible,1.0,"40.39681738687056, -3.7148297694029266",True,False,False,True,True,False,False,False
7451,6925759,2015-06-20,Carabanchel,1.0,Comillas,Carabanchel,28019,40.39679573210501,-3.7134952667353978,Apartment,Entire home/apt,Real Bed,,69.0,,20.0,296,3,9.0,strict,1.0,"40.39679573210501, -3.7134952667353978",True,False,True,False,True,False,False,False
7452,5045372,2012-07-25,Carabanchel,2.0,Comillas,Carabanchel,28019,40.3937080817658,-3.7131633037421374,Apartment,Entire home/apt,Real Bed,,49.0,,25.0,324,103,9.0,flexible,2.0,"40.3937080817658, -3.7131633037421374",True,True,False,True,True,True,False,True
